Population_Members,Peak_Flow (CFS),Total_Runoff_Volume (1000*CF),Total_Costs $,Social_Context_Score,MultiObjectiveRating,,
childL35LYCEgen16,354.4235,3772.908,24919061.86,1611.213596,3.145513021,,
childYZZAK7Ugen16,354.214,3772.0323,24892366.64,1614.885681,3.144784627,,
childJPM6OHUgen18,354.7065,3768.5232,24936282.26,1616.282319,3.145440491,,
childZF1IR4Ugen18,353.2735,3763.2006,24992933.57,1616.436423,3.139485325,,
childTX4393Pgen18,352.0055,3814.7778,24989084.17,1616.445532,3.149581877,,
childGLWG9EKgen19,354.388,3764.4858,24898603.43,1617.168262,3.143376767,,
child1WOKO6Ngen18,353.972,3784.6845,24940784.52,1617.871061,3.147616657,,
childALDCTJ9gen18,353.6715,3804.9939,24990124,1618.651984,3.152253796,,
childWSXB40Agen18,353.3135,3784.8807,24980895.22,1619.366105,3.145667556,,3781.1652
childDTNLV8Rgen18,353.888,3813.813,24878970.53,1619.749512,3.155394251,,
childH9LZ28Ogen18,354.0055,3786.1785,24976704.17,1621.562078,3.148300861,,
childDHTZR6Hgen19,353.575,3799.4886,24904690.95,1622.183478,3.150610093,,
childQLIPJX1gen17,353.59,3786.7896,24916183.04,1622.784089,3.147216995,,
childFLB2MRYgen18,353.6865,3803.9652,24998481.21,1623.231798,3.152231973,,
childN9KIP8Mgen18,353.136,3836.8449,24774334.51,1624.415672,3.15953411,,
childU8K9HXOgen18,353.51,3805.848,24975552.88,1626.257743,3.152330853,,
childZ3X7FM1gen17,354.6125,3808.8405,24895380.73,1626.299474,3.156618868,,
child78K4PQAgen17,353.578,3818.9178,24892898.01,1626.988808,3.156147981,,
child6CRI0MSgen17,352.5525,3808.6956,24902498.95,1627.21364,3.150140144,,
childA3IQ07Dgen17,352.5395,3804.8832,24839159.38,1627.72276,3.149081637,,
childXMM4X8Bgen17,352.977,3747.3849,24896177.39,1628.467915,3.134789908,,
child6NXBR0Igen16,352.027,3810.4659,24902257.94,1629.728737,3.149086591,,
childI9XPH72gen17,353.7625,3806.2548,24976335.7,1630.073511,3.153412963,,
childTCGXRDQgen18,353.2015,3808.5408,24879315.49,1630.188766,3.152277506,,
childO9QYFZCgen17,353.42,3795.2577,24748212.14,1630.792148,3.149365299,,
childJN9M6YIgen18,353.6485,3805.7508,24899894.39,1630.960925,3.152957702,,
child7TBD4VQgen19,355.5365,3778.3278,24778619.57,1631.235651,3.151421501,,
childMWXG18Fgen19,353.0095,3805.8453,24944405.41,1632.195907,3.151030146,,
childGH29X44gen16,351.86,3792.1086,24985154.01,1633.550967,3.143724655,,
child9FQ0V38gen19,354.607,3821.8995,24904997.59,1633.773724,3.160513814,,
childJ8T6JSJgen19,355.52,3813.0966,24750555.59,1634.737542,3.161026954,,
childY60MSZNgen16,351.863,3812.9535,24973895.64,1634.773797,3.1494834,,
childBIEHO33gen17,354.277,3828.5298,24739467.22,1635.584869,3.161370058,,
childTLA13U2gen19,354.552,3789.9,24965183.31,1635.741177,3.151692771,,
child91TUOGMgen16,352.432,3792.1248,24919726.49,1636.082282,3.145645913,,
childHDF27XUgen17,354.3015,3785.3793,24680728.19,1636.540364,3.149706995,,
childJ0LOQPTgen15,354.324,3788.7858,24904984.06,1637.997881,3.150775543,,
child1FDETE4gen19,353.5715,3824.379,24902305.53,1638.020191,3.158129426,,
childBUNXYWBgen18,353.3375,3792.9411,24899771.06,1639.426898,3.148872614,,
childBYHO4VTgen15,351.517,3779.8641,24947220.52,1639.542432,3.139578739,,
childXLRD1EEgen16,350.9165,3814.8129,24988782.89,1640.334228,3.147270487,,
child75M8YM9gen19,353.5555,3816.8118,24987911.75,1640.481831,3.156126395,,
child6ZM6FGWgen17,354.1535,3798.5922,24977102.13,1640.887919,3.153050939,,
childDB1Z0B7gen19,353.7465,3797.4249,24681753.3,1640.912364,3.151452723,,
childMFTRMDCgen19,353.76,3799.5957,24952106.26,1641.182088,3.152100523,,
childVWM05VQgen16,352.847,3806.0316,24790828.07,1641.47093,3.150998922,,
child6SN7W08gen17,354.4815,3788.3862,24708518.26,1643.046254,3.15139556,,
childVTKQKMCgen19,355.6745,3812.7429,24649266.01,1644.130457,3.161851099,,
childNN5OLJJgen19,350.942,3775.0293,24989273.33,1644.213289,3.136665348,,
childFGVJZH5gen16,353.1225,3810.6828,24707988.68,1644.229735,3.153263632,,
childGG1JLMQgen16,351.725,3803.4612,24850727.93,1644.549692,3.14690922,,
childBJYQ4U0gen19,352.9425,3807.5652,24994511.86,1644.882706,3.151876092,,
child6O0B466gen17,355.2065,3801.7053,24700299.22,1644.907606,3.157400216,,
childWO9IGTGgen17,354.8005,3816.2619,24925828.82,1644.910514,3.160098332,,
childDTFCP8Egen18,355.2975,3780.9216,24763280.43,1645.012233,3.152015365,,
childU7DQMW5gen19,351.7085,3797.0235,24946514.85,1645.32101,3.145134866,,
childPZRW5XRgen19,355.524,3832.3179,24871059.5,1645.421827,3.166783244,,
child24Q2FH0gen19,356.0935,3824.1189,24790376.33,1646.040046,3.166364549,,
childOKO8YAZgen17,354.3295,3791.8179,24920419.51,1646.177475,3.151999399,,
childPGW3FHOgen18,353.57,3800.3346,24837707.93,1646.386169,3.151945317,,
childRW6XJQRgen18,355.245,3818.3292,24638690.35,1647.130331,3.162164172,,
childYLTEH4Qgen19,352.4655,3806.3376,24868964.22,1647.281475,3.15015103,,
childA0Y4Q2Zgen18,353.3795,3758.706,24879021.95,1647.321742,3.1400205,,
childM1N1DC3gen14,352.291,3816.5076,24953809.74,1647.623169,3.152395222,,
child5KS4RU5gen19,355.566,3794.067,24931366.73,1648.392645,3.156606572,,
childBFRE35Xgen16,351.599,3784.2471,24890574.14,1649.268711,3.141483789,,
child56WSZ4Xgen17,353.398,3805.4223,24983947.9,1649.44008,3.152934904,,
childX7KGIPNgen19,355.462,3808.3005,24727301.21,1649.966327,3.160239326,,
childMS0XZT4gen19,353.8145,3805.8957,24618986.34,1650.365019,3.154417437,,
childTPK4B23gen18,353.2255,3781.8675,24722265.8,1650.506699,3.146008723,,
childFMQ09SMgen19,355.932,3771.4203,24893271.41,1650.520069,3.15167178,,
childUZUK4DNgen19,353.3865,3778.5105,24966307.38,1651.016788,3.145622092,,
childFBR7GP3gen19,355.315,3763.8171,24567715.48,1651.402513,3.147694896,,
child0YY79A2gen18,353.206,3781.0827,24987930.69,1651.463655,3.145777322,,
childGUE6XJ6gen18,354.915,3795.2415,24803838.92,1651.48643,3.155022219,,
childHR6Y3PPgen19,356.5035,3817.5777,24752125.14,1651.540774,3.166122683,,
childDTW3ZP7gen19,355.4375,3823.2234,24876170.46,1651.60889,3.164313676,,
childSZODT4Agen15,352.3175,3813.5052,24965794.59,1651.721158,3.151848271,,
childEUQ22SMgen17,353.161,3790.2456,24503967.89,1651.98675,3.14816232,,
childW7J3EYQgen15,352.236,3790.386,24861220.41,1652.081723,3.145294697,,
childNV9TKW4gen19,355.9575,3806.8083,24572587.03,1653.148441,3.161538061,,
childITEM9NPgen16,355.6865,3819.3147,24677432.39,1653.189147,3.164102773,,
