Subbasin,Areas,Acres,Perc_Imperv,FlowLengths,Imperv_Area,Perv_Area,Feasible_PermeablePavement_Space,Feasible_GrassSwale_Space,Feasible_GreenRoof_Space,Feasible_RainGarden_Space,Feasible_Bioretention_Space,Feasible - Imp Area,Total_Green_LID_Feasible_Area,Total_LID_Feasible_Area,Feasible Green LID Area Ratio,SEI,MC_Index,Removable_Imp
1,12683844.36,291.18,32,2561.6,4058830.195,8625014.165,9438.876234,8494.98861,260512.984,21709.41534,0,126838.4436,417555.8316,426994.7078,0.03292029,4.41806938,33.3,1
2,8855748,203.3,40,1210,3542299.2,5313448.8,7551.100987,7551.100987,93444.87471,81174.33561,0,88557.48,270727.7913,278278.8923,0.030570855,2.956698714,19.7,1
3,5198189.04,119.33,53,800.7,2755040.191,2443148.849,68903.79651,12270.5391,73623.23462,15102.20197,0,51981.8904,152977.8661,221881.6626,0.029429069,3.67790663,28.5,1
4,3741804,85.9,34,1393.9,1272213.36,2469590.64,1887.775247,1887.775247,109805.5935,22653.30296,0,37418.04,171764.7117,173652.487,0.045904251,4.177800737,26,1
5,3361263.84,77.164,23,741.2,773090.6832,2588173.157,0,8494.98861,7865.730195,3775.550493,0,13445.05536,33581.32466,33581.32466,0.009990684,1.641788304,10.9,0.4
6,5401228.534,123.9951454,66,1198.6,3564810.832,1836417.702,16989.97722,2831.66287,341687.3197,3775.550493,0,54012.28534,402306.8184,419296.7956,0.074484317,3.496391051,28.5,1
7,4416811.075,101.3960302,13,1036.2,574185.4398,3842625.635,0,7551.100987,1258.516831,35867.72969,0,17667.2443,62344.59181,62344.59181,0.014115295,1.581105487,10.2,0.4
8,12784359.47,293.4885095,21,1725.6,2684715.489,10099643.98,3775.550493,40587.1678,19192.38167,114210.4024,0,127843.5947,301833.5466,305609.0971,0.023609595,2.811807903,16.6,1
9,6890922.21,158.1938065,31,1348.086,2136185.885,4754736.325,3775.550493,12270.5391,26743.48266,40587.1678,0,68909.2221,148510.4117,152285.9622,0.021551602,3.360909779,22.9,1
10,5758406.55,132.1948244,20,1405.6,1151681.31,4606725.24,6607.213364,1887.775247,24226.449,11326.65148,0,57584.0655,95024.94123,101632.1546,0.016501951,2.074796977,11.4,1
11,5518835.929,126.6950397,36,1482.9,1986780.934,3532054.995,943.8876234,51913.81928,72993.97621,46250.49354,943.8876234,55188.35929,227290.5359,228234.4236,0.041184507,6.300976317,25.3,1
12,7034664.582,161.4936773,37,1678.9,2602825.895,4431838.687,10382.76386,28316.6287,57577.14502,43418.83067,2831.66287,70346.64582,202490.9131,212873.6769,0.028784729,5.750355792,20.9,1
13,3558712.671,81.69680145,56,800.5,1992879.096,1565833.575,4719.438117,943.8876234,93759.50392,1887.775247,0,35587.12671,132178.2935,136897.7316,0.037142165,6.213092696,23.5,1
14,2278098.809,52.29795246,15,491.1,341714.8214,1936383.988,0,15102.20197,0,49082.15641,0,6834.296427,71018.65481,71018.65481,0.031174528,1.461576139,3.5,0.3
15,2774663.368,63.69750615,65,628.3,1803531.189,971132.1788,4719.438117,0,90927.84105,6607.213364,0,27746.63368,125281.6881,130001.1262,0.045152032,6.198348915,22.7,1
16,3558712.671,81.69680145,76,1414.8,2704621.63,854091.041,7551.100987,12270.5391,229050.0633,50969.93166,0,35587.12671,327877.6608,335428.7618,0.092133783,6.733951757,24.2,1
17,8515646.599,195.4923462,58,2399.3,4939075.027,3576571.572,39643.28018,1887.775247,347665.2746,61352.69552,0,85156.46599,496062.2114,535705.4915,0.058253029,6.342489413,22.3,1
18,3066503.942,70.39724384,21,1128,643965.8278,2422538.114,2831.66287,7551.100987,9196.675802,94388.76234,0,21465.52759,132602.0667,135433.7296,0.043242099,3.355365165,11.4,0.7
19,4599755.913,105.5958658,15,1206.6,689963.387,3909792.526,0,7551.100987,0,34923.84206,943.8876234,18399.02365,61817.85432,61817.85432,0.013439377,2.558427559,7.3,0.4
20,5405584.363,124.0951415,13,1159.2,702725.9672,4702858.396,0,10382.76386,0,37755.50493,0,10811.16873,58949.43752,58949.43752,0.010905285,2.012144524,4.6,0.2
21,5989265.511,137.4946169,31,1796.8,1856672.308,4132593.203,0,32092.17919,41531.05543,45306.60592,0,59892.65511,178822.4957,178822.4957,0.029857166,4.852905191,14,1
22,6390001.822,146.6942567,47,1579.2,3003300.856,3386700.966,943.8876234,31148.29157,26114.22425,60408.80789,0,63900.01822,181571.3419,182515.2296,0.028414912,4.149437599,9.2,1
23,4020430.594,92.29638646,68,1925.6,2733892.804,1286537.79,1887.775247,2831.66287,179967.9069,11326.65148,0,40204.30594,234330.5272,236218.3024,0.058284933,3.786722169,6.7,1
24,4368896.951,100.2960733,38,1115.6,1660180.841,2708716.11,943.8876234,18877.75247,60408.80789,33979.95444,0,43688.96951,156955.4843,157899.3719,0.035925655,4.373133177,10.7,1
25,11303377.46,259.4898406,52,1955.8,5877756.279,5425621.181,47194.38117,31148.29157,230937.8385,88725.4366,5663.32574,113033.7746,469508.667,516703.0482,0.041537025,4.424097389,15.9,1
26,5257486.161,120.6952746,58,1369.3,3049341.973,2208144.188,19821.64009,16989.97722,215835.6365,46250.49354,1887.775247,52574.86161,333538.7441,353360.3842,0.063440727,5.04429866,16.8,1
